id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSE00001608519	0.264640187579911	0	0.529280375159821	Inf	Inf	0.465811774919353	1
ENSE00001741117	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001684496	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00003709937	0.27721723049021	0	0.55443446098042	Inf	Inf	0.54899099077054	1
ENSE00003729380	0.551992190845853	0	1.10398438169171	Inf	Inf	0.209801920049616	1
ENSE00001661865	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001552420	0.253691324759323	0	0.507382649518646	Inf	Inf	0.521803838632106	1
ENSE00001925194	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001724398	0.264640187579911	0	0.529280375159821	Inf	Inf	0.465811774919353	1
ENSE00001308702	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00003708873	0.530908555249533	0	1.06181711049907	Inf	Inf	0.139528603451429	1
ENSE00001919950	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001877108	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001908207	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001883497	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001604325	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001946900	0.27721723049021	0	0.55443446098042	Inf	Inf	0.54899099077054	1
ENSE00001826929	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001909580	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001943189	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001710082	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001883656	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00003708799	0.392299940004428	0	0.784599880008856	Inf	Inf	0.254372243877959	1
ENSE00001833835	0.253691324759323	0	0.507382649518646	Inf	Inf	0.521803838632106	1
ENSE00001860470	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00000651770	0.27721723049021	0	0.55443446098042	Inf	Inf	0.54899099077054	1
ENSE00001755837	0.275589050400498	0	0.551178100800997	Inf	Inf	0.547258831108208	1
ENSE00001594133	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001847849	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00003708551	0.392299940004428	0	0.784599880008856	Inf	Inf	0.254372243877959	1
