# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "Homo_sapiens.GRCh38.96.chromosome.22.gff3" "-g" "exon_id" "-o" "counts.txt" "s1-unshuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" "s1-shuffled-pe-trim.sorted.bam" "s1-unshuffled-pe-trim.sorted.bam" "s2-shuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-shuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-shuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-shuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" 
Geneid	s1-unshuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam	s1-shuffled-pe-trim.sorted.bam
ENSE00003736336	0	0	0	0	0	0
ENSE00003790077	0	0	0	0	0	0
ENSE00003791492	5	2	14	10	11	0
ENSE00003787209	1	0	5	1	5	1
ENSE00003785466	3	0	0	2	3	0
ENSE00003787541	11	4	26	19	16	1
ENSE00003784997	3	2	13	13	13	0
ENSE00003786193	3	3	19	39	32	0
ENSE00003789146	0	2	11	12	16	0
ENSE00003786612	1	1	6	4	3	2
ENSE00003758096	0	0	0	0	0	0
ENSE00003758861	0	0	0	0	0	0
ENSE00001616995	0	0	0	0	0	0
ENSE00001776473	2	1	9	3	7	0
ENSE00003735240	7	2	18	6	36	0
ENSE00003784219	7	1	10	17	15	0
ENSE00003784834	4	0	3	11	10	0
ENSE00003785913	5	1	13	5	9	0
ENSE00003790031	1	0	0	0	0	0
ENSE00003786552	0	0	1	0	0	0
ENSE00003788654	7	3	19	12	18	0
ENSE00003791453	9	1	13	13	16	0
ENSE00003788301	1	1	4	2	5	0
ENSE00003788969	0	0	1	1	0	0
ENSE00003736970	0	0	0	0	0	0
ENSE00003757456	5	4	2	3	3	2
ENSE00001782524	0	0	0	0	0	0
ENSE00001723295	2	0	0	0	0	0
ENSE00001625165	0	0	0	0	0	0
ENSE00001739422	0	0	0	1	0	0
ENSE00001734865	0	0	0	0	0	0
ENSE00003755131	3	0	0	6	2	0
ENSE00001646539	34	31	121	138	144	0
ENSE00001594594	0	0	2	0	3	0
ENSE00001665783	3	0	2	6	7	0
ENSE00001722896	0	0	0	0	0	0
ENSE00001779460	12	2	19	22	33	0
ENSE00001596746	6	2	13	14	20	0
ENSE00001766235	0	0	0	2	0	0
ENSE00000896763	0	0	0	0	0	0
ENSE00003825272	0	0	0	0	0	0
ENSE00001786241	2	0	2	4	10	0
ENSE00001731660	0	0	0	0	0	0
ENSE00001661178	14	1	7	7	15	0
ENSE00001679901	0	0	0	0	0	0
ENSE00001706709	1	0	0	6	8	1
ENSE00001675568	1	0	0	0	0	0
ENSE00001625927	0	0	0	0	0	0
ENSE00001769489	0	0	0	0	0	0
ENSE00001744768	0	0	0	0	0	0
ENSE00001603731	0	0	1	0	0	0
ENSE00001699940	69	42	175	174	158	82
ENSE00001805059	39	13	76	107	80	8
ENSE00001679861	0	0	1	0	1	0
ENSE00001598108	0	3	4	8	3	0
ENSE00001719006	0	0	0	0	0	0
ENSE00001619071	0	0	0	0	0	0
ENSE00001642903	19	2	49	49	43	3
ENSE00001689749	0	0	0	0	0	0
ENSE00001628719	0	1	0	0	1	0
ENSE00001753289	0	0	0	0	0	0
ENSE00001804715	0	4	0	1	0	0
ENSE00001776543	0	2	1	1	0	0
ENSE00001635596	0	4	11	14	2	1
ENSE00001800164	0	0	0	0	0	0
ENSE00001736008	0	0	1	0	0	0
ENSE00001729523	2	0	4	0	0	0
ENSE00001640219	0	0	0	1	0	0
ENSE00001709429	0	0	0	3	2	0
ENSE00001722571	1	0	0	1	3	0
ENSE00001680538	0	0	0	0	0	0
ENSE00001729854	0	0	0	0	0	0
ENSE00001655378	0	0	0	0	0	0
ENSE00001799916	0	0	0	0	0	0
ENSE00001654243	0	0	0	0	1	0
ENSE00001758080	0	2	0	0	0	0
ENSE00001618593	0	0	0	0	0	0
ENSE00001413705	0	0	0	0	0	0
ENSE00001746577	0	0	0	0	0	0
ENSE00001788239	0	0	0	0	0	0
ENSE00003639359	0	0	0	0	0	0
ENSE00003623625	0	0	0	0	0	0
ENSE00003533849	0	0	0	0	0	0
ENSE00003535920	0	0	0	0	0	0
ENSE00003539333	0	0	0	0	0	0
ENSE00003523951	0	0	0	0	0	0
ENSE00003563151	0	0	0	0	0	0
ENSE00001732273	0	0	0	0	0	0
ENSE00003716055	0	0	0	0	0	0
ENSE00003716476	0	0	0	0	0	0
ENSE00003711518	0	0	0	0	0	0
ENSE00001781695	0	0	0	0	0	0
ENSE00001593346	0	0	0	0	0	0
ENSE00003460670	0	0	0	0	0	0
ENSE00003669720	0	0	0	0	0	0
ENSE00003508115	0	0	0	0	0	0
ENSE00003515936	0	0	0	0	0	0
ENSE00003572616	0	0	0	0	0	0
ENSE00003639659	0	0	0	0	0	0
ENSE00003480843	0	0	0	0	0	0
ENSE00001600878	0	0	0	3	0	0
ENSE00001671032	0	0	0	0	0	0
ENSE00001807110	0	0	0	0	0	0
ENSE00001664866	3424	1301	7599	7593	7581	785
ENSE00001671974	0	0	0	0	0	0
ENSE00001733158	0	0	0	0	0	0
ENSE00001715873	2	0	8	0	4	0
ENSE00001617515	0	0	0	0	0	0
ENSE00001784645	0	0	0	0	0	0
ENSE00001787093	0	0	0	0	0	0
ENSE00001736141	0	0	0	0	0	0
ENSE00001729823	0	0	0	0	0	0
ENSE00002235402	1	3	7	13	7	0
ENSE00001764172	0	0	0	0	0	0
ENSE00002219275	3	3	12	14	5	0
ENSE00001650067	0	0	0	0	0	0
ENSE00001620210	0	0	0	0	0	0
ENSE00002219189	0	0	0	0	0	0
ENSE00001636604	0	0	0	0	0	0
ENSE00001715620	0	0	0	0	0	0
ENSE00002265621	0	0	0	0	0	0
ENSE00002235266	0	0	0	0	0	0
ENSE00001714852	0	0	0	0	0	0
ENSE00002258817	0	0	0	0	0	0
ENSE00002292143	0	0	0	0	0	0
ENSE00002218519	0	0	0	0	0	0
ENSE00001632167	0	0	0	0	0	0
ENSE00001767994	8	0	18	16	14	0
ENSE00001725302	0	0	0	0	0	0
ENSE00001633543	0	0	0	0	0	0
ENSE00003710211	0	0	0	0	0	0
ENSE00003656245	8	0	4	4	12	5
ENSE00001730294	0	0	0	0	0	0
ENSE00001762192	0	0	0	0	0	0
ENSE00001621288	0	0	0	0	0	0
ENSE00003707205	0	0	0	0	0	0
ENSE00003709080	0	0	0	0	0	0
ENSE00001650023	0	0	0	0	0	0
ENSE00001798044	0	0	0	0	2	0
ENSE00003709718	0	0	0	0	0	0
ENSE00001675587	0	0	0	0	0	0
ENSE00001747868	9	1	7	7	4	0
ENSE00001594742	5	0	2	2	0	0
ENSE00001697043	1	0	1	0	1	0
ENSE00001608519	0	0	0	0	0	1
ENSE00001776112	3	0	4	2	1	0
ENSE00001603029	77	24	173	147	218	86
ENSE00001645102	0	0	0	0	0	0
ENSE00001798223	0	2	9	5	2	0
ENSE00001660730	0	0	0	0	0	0
ENSE00003714392	0	0	0	0	0	0
ENSE00001799661	5	3	0	6	4	0
ENSE00001691845	5	1	1	2	4	0
ENSE00001672952	2	1	4	5	6	0
ENSE00001798781	2	4	9	7	6	3
ENSE00001625751	4	1	4	13	5	3
ENSE00001616608	71	22	127	147	166	0
ENSE00001729068	102	46	220	292	279	0
ENSE00001752970	80	47	196	225	229	0
ENSE00001606166	141	67	331	300	398	0
ENSE00001557721	0	0	0	0	0	0
ENSE00001782535	0	0	0	0	0	0
ENSE00001719021	0	0	0	0	0	0
ENSE00001643934	0	0	0	0	1	0
ENSE00001695368	0	0	0	0	1	0
ENSE00001767092	0	0	0	0	1	0
ENSE00001671201	0	0	0	0	0	0
ENSE00001754042	0	0	0	0	0	0
ENSE00001666715	0	0	0	0	0	0
ENSE00003758877	2	1	4	2	0	0
ENSE00001677472	0	0	0	0	0	0
ENSE00001767761	0	0	0	0	0	0
ENSE00001608172	0	0	0	0	0	0
ENSE00003706382	0	0	0	0	0	0
ENSE00003707054	0	0	0	0	0	0
ENSE00003702906	0	0	0	0	0	0
ENSE00001732752	4	6	1	2	4	0
ENSE00001623204	2	4	0	2	0	0
ENSE00001597534	0	2	5	2	4	1
ENSE00001739921	0	1	7	1	4	0
ENSE00001596670	0	0	8	1	1	1
ENSE00003755408	0	0	0	2	10	2
ENSE00001839032	0	0	0	0	0	0
ENSE00001930505	0	0	0	0	0	0
ENSE00001878881	0	0	0	0	0	0
ENSE00001937172	0	0	0	0	0	0
ENSE00001806026	4	0	6	0	6	0
ENSE00001596581	160	60	410	415	438	134
ENSE00002570186	0	0	0	0	0	0
ENSE00001605063	0	0	0	0	0	0
ENSE00002538847	0	0	2	0	0	0
ENSE00003795523	0	0	0	0	0	0
ENSE00003791808	0	0	0	0	0	0
ENSE00003796833	0	0	0	0	0	0
ENSE00001543732	0	0	0	0	0	0
ENSE00001696455	0	0	0	0	0	0
ENSE00001752794	0	0	0	0	0	0
ENSE00001688048	0	0	0	0	0	0
ENSE00001788422	0	0	0	0	0	0
ENSE00001675045	0	0	0	0	0	0
ENSE00001613048	6	0	18	9	2	0
ENSE00001773127	0	0	0	0	0	0
ENSE00001782294	0	0	0	0	0	0
ENSE00001788901	0	0	0	0	0	0
ENSE00001620549	0	0	0	0	0	0
ENSE00001649259	0	0	0	0	0	0
ENSE00002736492	0	0	0	2	0	0
ENSE00002896340	0	0	0	0	0	0
ENSE00002923192	0	0	0	0	2	0
ENSE00001798341	0	0	0	0	0	0
ENSE00001806015	0	0	0	0	0	0
ENSE00001762391	0	0	0	0	0	0
ENSE00003792889	0	0	0	0	0	0
ENSE00003797761	0	0	0	0	0	0
ENSE00002924237	0	0	0	0	0	0
ENSE00002911043	0	0	0	0	0	0
ENSE00003800255	0	0	0	0	0	0
ENSE00002871438	0	0	0	0	0	0
ENSE00002800237	0	0	0	0	0	0
ENSE00002779343	0	0	0	0	0	0
ENSE00002951757	0	2	3	0	0	0
ENSE00001700739	0	0	0	0	0	0
ENSE00001789206	0	0	0	0	0	0
ENSE00002032018	4	2	5	2	0	0
ENSE00002021604	2	0	3	2	2	0
ENSE00002047806	1	4	3	4	0	0
ENSE00003601172	0	0	0	0	0	0
ENSE00001725000	0	0	0	0	0	0
ENSE00003478233	0	0	0	0	0	0
ENSE00001620353	0	0	0	0	0	0
ENSE00001740990	0	0	0	2	0	0
ENSE00001638194	0	0	0	0	0	0
ENSE00001685886	0	0	0	0	0	0
ENSE00003625905	0	0	0	0	0	0
ENSE00003620128	0	0	0	0	0	0
ENSE00001592270	0	0	0	0	0	0
ENSE00001769991	0	0	0	0	0	0
ENSE00001611736	0	0	0	0	0	0
ENSE00001745875	0	0	0	0	0	0
ENSE00003503074	0	0	0	0	0	0
ENSE00003633457	0	0	0	0	0	0
ENSE00001593736	1	2	19	4	3	0
ENSE00003521508	0	0	0	0	0	0
ENSE00003518483	0	0	0	0	0	0
ENSE00001790939	0	0	0	0	0	0
ENSE00003686527	0	0	0	0	0	0
ENSE00003579924	0	0	0	0	0	0
ENSE00003637368	0	0	0	0	0	0
ENSE00003611377	0	0	0	0	0	0
ENSE00003500841	0	0	0	0	0	0
ENSE00002568320	0	0	0	0	0	0
ENSE00003520301	0	0	0	0	0	0
ENSE00003484966	0	0	0	0	0	0
ENSE00003475019	0	0	0	0	0	0
ENSE00001596500	17	7	46	40	54	0
ENSE00001638598	120	48	248	258	283	5
ENSE00001745760	104	41	278	247	245	3
ENSE00001687710	381	108	811	850	807	496
ENSE00001617518	133	47	298	258	287	2
ENSE00001688511	134	48	316	292	314	16
ENSE00001718001	130	44	328	304	329	24
ENSE00001775995	129	44	277	310	280	0
ENSE00001638969	136	41	308	337	324	27
ENSE00001677923	0	0	0	3	0	0
ENSE00001764059	0	0	5	2	0	0
ENSE00001305313	0	0	0	0	0	0
ENSE00001196508	0	0	0	0	0	0
ENSE00001303813	0	0	0	0	0	0
ENSE00001250637	0	0	0	0	0	0
ENSE00001769854	0	0	0	0	0	0
ENSE00001605777	0	0	0	0	0	0
ENSE00001761269	0	0	0	0	0	0
ENSE00001615012	0	0	0	0	0	0
ENSE00001776270	0	0	0	0	0	0
ENSE00003792651	0	0	0	0	0	0
ENSE00003793472	0	0	0	0	0	0
ENSE00003796898	0	0	0	0	0	0
ENSE00003795972	0	0	0	0	0	0
ENSE00001782554	7	2	24	16	18	0
ENSE00001563441	23	7	77	83	74	5
