# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "Homo_sapiens.GRCh38.96.chromosome.22.gff3" "-g" "exon_id" "-o" "counts.txt" "s1-unshuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" "s1-shuffled-pe-trim.sorted.bam" "s1-unshuffled-pe-trim.sorted.bam" "s2-shuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-shuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-shuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-shuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	s1-unshuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam	s1-shuffled-pe-trim.sorted.bam	s1-unshuffled-pe-trim.sorted.bam	s2-shuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-shuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-shuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-shuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam
ENSE00003736336	22	10736171	10736283	-	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003790077	22	10939388	10939423	-	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003791492	22	10940597	10940707	-	111	5	2	14	10	11	0	5	1	2	0	14	1	10	0	11
ENSE00003787209	22	10941691	10941780	-	90	1	0	5	1	5	1	1	0	0	0	5	0	1	1	5
ENSE00003785466	22	10944967	10945053	-	87	3	0	0	2	3	0	3	0	0	0	0	0	2	0	3
ENSE00003787541	22	10947304	10947418	-	115	11	4	26	19	16	1	11	1	4	0	26	1	19	1	16
ENSE00003784997	22	10949212	10949269	-	58	3	2	13	13	13	0	3	0	2	0	13	0	13	0	13
ENSE00003786193	22	10950049	10950174	-	126	3	3	19	39	32	0	3	0	3	1	19	1	39	0	32
ENSE00003789146	22	10959067	10959136	-	70	0	2	11	12	16	0	0	0	2	1	11	1	12	1	16
ENSE00003786612	22	10961283	10961338	-	56	1	1	6	4	3	2	1	1	1	3	6	1	4	2	3
ENSE00003758096	22	11066418	11066515	+	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003758861	22	11067985	11068174	+	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001616995	22	11124337	11124379	+	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001776473	22	11124508	11125705	+	1198	2	1	9	3	7	0	2	0	1	0	9	0	3	0	7
ENSE00003735240	22	11249809	11249959	-	151	7	2	18	6	36	0	7	0	2	0	18	0	6	0	36
ENSE00003784219	22	12602466	12602527	+	62	7	1	10	17	15	0	7	0	1	0	10	0	17	0	15
ENSE00003784834	22	12604670	12604739	+	70	4	0	3	11	10	0	4	2	0	0	3	0	11	0	10
ENSE00003785913	22	12615409	12615534	+	126	5	1	13	5	9	0	5	0	1	0	13	1	5	1	9
ENSE00003790031	22	12616314	12616371	+	58	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSE00003786552	22	12618171	12618289	+	119	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSE00003788654	22	12620838	12620938	+	101	7	3	19	12	18	0	7	0	3	0	19	0	12	1	18
ENSE00003791453	22	12624242	12624331	+	90	9	1	13	13	16	0	9	1	1	0	13	1	13	0	16
ENSE00003788301	22	12625317	12625428	+	112	1	1	4	2	5	0	1	1	1	2	4	0	2	1	5
ENSE00003788969	22	12626607	12626642	+	36	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
ENSE00003736970	22	15273855	15273961	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003757456	22	15282557	15288670	-	6114	5	4	2	3	3	2	5	3	4	1	2	2	3	0	3
ENSE00001782524	22	15290718	15290836	+	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001723295	22	15290995	15291024	+	30	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSE00001625165	22	15295332	15295410	+	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001739422	22	15295730	15295832	+	103	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSE00001734865	22	15297157	15297196	+	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003755131	22	15298378	15304556	-	6179	3	0	0	6	2	0	3	0	0	2	0	0	6	0	2
ENSE00001646539	22	15326037	15327756	-	1720	34	31	121	138	144	0	34	1	31	0	121	0	138	0	144
ENSE00001594594	22	15342360	15342426	-	67	0	0	2	0	3	0	0	0	0	0	2	0	0	0	3
ENSE00001665783	22	15342945	15343065	-	121	3	0	2	6	7	0	3	0	0	0	2	0	6	0	7
ENSE00001722896	22	15349467	15350043	+	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001779460	22	15489990	15490131	+	142	12	2	19	22	33	0	12	0	2	0	19	0	22	0	33
ENSE00001596746	22	15490872	15490947	+	76	6	2	13	14	20	0	6	0	2	0	13	0	14	0	20
ENSE00001766235	22	15492486	15492564	+	79	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
ENSE00000896763	22	15528159	15529139	+	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003825272	22	15528192	15529139	+	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001786241	22	15541436	15541607	+	172	2	0	2	4	10	0	2	0	0	0	2	0	4	0	10
ENSE00001731660	22	15558446	15558626	+	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001661178	22	15575612	15575786	+	175	14	1	7	7	15	0	14	0	1	0	7	0	7	0	15
ENSE00001679901	22	15577967	15578006	+	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001706709	22	15550904	15552887	-	1984	1	0	0	6	8	1	1	0	0	0	0	1	6	0	8
ENSE00001675568	22	15553211	15553586	-	376	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSE00001625927	22	15553691	15553838	-	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001769489	22	15557577	15558591	-	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001744768	22	15560156	15560264	-	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001603731	22	15560525	15560694	-	170	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSE00001699940	22	15562017	15564276	-	2260	69	42	175	174	158	82	69	74	42	87	175	56	174	86	158
ENSE00001805059	22	15572089	15573265	-	1177	39	13	76	107	80	8	39	8	13	7	76	4	107	8	80
ENSE00001679861	22	15588361	15588478	+	118	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
ENSE00001598108	22	15600908	15602514	-	1607	0	3	4	8	3	0	0	0	3	0	4	0	8	0	3
ENSE00001719006	22	15604052	15604133	-	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001619071	22	15604842	15604882	-	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001642903	22	15611759	15613096	-	1338	19	2	49	49	43	3	19	4	2	2	49	2	49	3	43
ENSE00001689749	22	15615402	15615578	-	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001628719	22	15622601	15622712	-	112	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1
ENSE00001753289	22	15623987	15624071	-	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001804715	22	15624539	15624674	-	136	0	4	0	1	0	0	0	0	4	0	0	0	1	0	0
ENSE00001776543	22	15624956	15625094	-	139	0	2	1	1	0	0	0	0	2	0	1	0	1	0	0
ENSE00001635596	22	15625472	15625901	-	430	0	4	11	14	2	1	0	0	4	0	11	0	14	1	2
ENSE00001800164	22	15627332	15627410	-	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001736008	22	15627650	15627716	-	67	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSE00001729523	22	15628382	15628586	-	205	2	0	4	0	0	0	2	1	0	1	4	0	0	0	0
ENSE00001640219	22	15629738	15629891	-	154	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSE00001709429	22	15631430	15631538	-	109	0	0	0	3	2	0	0	0	0	0	0	0	3	0	2
ENSE00001722571	22	15631919	15632051	-	133	1	0	0	1	3	0	1	0	0	0	0	0	1	0	3
ENSE00001680538	22	15635180	15635311	-	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001729854	22	15636011	15636067	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001655378	22	15636546	15636714	-	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001799916	22	15636800	15636865	-	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001654243	22	15637381	15637459	-	79	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSE00001758080	22	15638852	15639043	-	192	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSE00001618593	22	15644204	15644330	-	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001413705	22	15690026	15690709	+	684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001746577	22;22;22	15695371;15695371;15695371	15695485;15695485;15695485	+;+;+	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001788239	22;22;22	15695645;15695645;15695645	15695818;15695818;15695818	+;+;+	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003639359	22;22	15698662;15698662	15698768;15698768	+;+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003623625	22;22	15700078;15700078	15700215;15700215	+;+	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003533849	22;22	15702686;15702686	15702756;15702756	+;+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003535920	22;22	15708020;15708020	15708090;15708090	+;+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003539333	22;22	15709782;15709782	15709826;15709826	+;+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003523951	22;22	15710868;15710868	15711034;15711034	+;+	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003563151	22;22	15719660;15719660	15719778;15719778	+;+	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001732273	22;22	15721286;15721286	15721522;15721522	+;+	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003716055	22	15690078	15690314	+	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003716476	22	15690426	15690709	+	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003711518	22	15721286	15721631	+	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
